variant,symbol,gross_alpha_contribution,net_alpha_contribution,pct_of_variant_net_alpha,abs_pct_of_variant_net_alpha,fee_cost_total,slippage_cost_total,funding_cost_total,total_cost,holding_days,long_days,short_days,is_baseline_top5_positive_symbol
baseline_current_long_short,BYBIT:ICPUSDT.P,0.017467215691225134,0.01664833311622514,0.05834855292174154,0.05834855292174154,5.752840909090909e-05,7.670454545454547e-05,0.0006846496204545456,0.0008188825750000001,124,93,31,False
baseline_current_long_short,BYBIT:KAVAUSDT.P,0.016189081035508406,0.015896725235508405,0.05571434132240383,0.05571434132240383,1.4999999999999999e-05,2e-05,0.0002573557999999998,0.0002923557999999998,267,0,267,False
baseline_current_long_short,BYBIT:DYDXUSDT.P,0.012734454297574986,0.014790143385074984,0.05183602814765561,0.05183602814765561,1.94375e-05,2.125e-05,-0.0020963765875,-0.0020556890875,546,0,546,False
baseline_current_long_short,BYBIT:SNXUSDT.P,0.013110552296147483,0.013110667296147483,0.04594985331132429,0.04594985331132429,1.1e-05,1e-05,-2.1115000000000224e-05,-1.1500000000022167e-07,454,0,454,False
baseline_current_long_short,BYBIT:XMRUSDT.P,0.01609286693859013,0.012985072538590135,0.04550967276550819,0.04550967276550819,1.1e-05,1e-05,0.0030867944000000005,0.0031077944000000007,454,454,0,False
baseline_current_long_short,BYBIT:ONEUSDT.P,0.012010466965882365,0.012640882565882366,0.044303366602754905,0.044303366602754905,1.4999999999999999e-05,2e-05,-0.0006654156000000001,-0.0006304156000000002,119,0,119,False
baseline_current_long_short,BYBIT:FILUSDT.P,0.01002324980711619,0.012520265706412728,0.04388063243718493,0.04388063243718493,4.9571428571428566e-05,6.142857142857142e-05,-0.002608015899296537,-0.002497015899296537,669,0,669,False
baseline_current_long_short,BYBIT:ENJUSDT.P,0.011951436537963111,0.012471281737963111,0.04370895496920984,0.04370895496920984,1.4999999999999999e-05,2e-05,-0.0005548452000000001,-0.0005198452000000001,56,0,56,False
baseline_current_long_short,BYBIT:SUSHIUSDT.P,0.011857936570486866,0.012117371770486867,0.042468582475299665,0.042468582475299665,1.4999999999999999e-05,2e-05,-0.0002944352,-0.00025943520000000004,88,0,88,False
baseline_current_long_short,BYBIT:ROSEUSDT.P,0.010596277568415,0.011582936768414997,0.04059551153276604,0.04059551153276604,1.4999999999999999e-05,2e-05,-0.0010216592000000001,-0.0009866592,176,0,176,False
baseline_current_long_short,BYBIT:BSVUSDT.P,0.014378180929157033,0.010906341329157033,0.038224201172831124,0.038224201172831124,4.4999999999999996e-05,6.000000000000001e-05,0.0033668396,0.0034718396,248,63,185,False
baseline_current_long_short,BYBIT:APEUSDT.P,0.010045434138993422,0.010120053738993424,0.03546844522140452,0.03546844522140452,1.1e-05,1e-05,-9.561960000000017e-05,-7.461960000000018e-05,395,0,395,False
baseline_current_long_short,BYBIT:ANKRUSDT.P,0.009563322715422986,0.009857626515422985,0.03454869856354348,0.03454869856354348,2.9999999999999997e-05,4e-05,-0.00036430380000000007,-0.00029430380000000005,61,0,61,False
baseline_current_long_short,BYBIT:ARUSDT.P,0.009029650172467471,0.009411385372467471,0.032984726677359716,0.032984726677359716,4.0999999999999994e-05,5e-05,-0.0004727352000000002,-0.0003817352000000002,275,0,275,False
baseline_current_long_short,BYBIT:ADAUSDT.P,0.0028538276760260773,0.006060501737010927,0.02124065537766397,0.02124065537766397,0.00010475,0.000135,-0.0034464240609848483,-0.0032066740609848483,760,516,244,False
baseline_current_long_short,BYBIT:NEARUSDT.P,0.007136406872011382,0.00603379963451138,0.02114707069084039,0.02114707069084039,6.44375e-05,8.125000000000001e-05,0.0009569197375000001,0.0011026072375000002,187,155,32,False
baseline_current_long_short,BYBIT:BNBUSDT.P,0.007864583718444734,0.005800763568354548,0.020330333234669793,0.020330333234669793,4.9571428571428566e-05,6.142857142857142e-05,0.0019528201500901878,0.0020638201500901877,669,669,0,False
baseline_current_long_short,BYBIT:MINAUSDT.P,0.004977527578703911,0.005597052378703911,0.019616372680955438,0.019616372680955438,1.4999999999999999e-05,2e-05,-0.0006545248000000001,-0.0006195248000000002,150,0,150,False
baseline_current_long_short,BYBIT:CELOUSDT.P,0.004806060426246506,0.005085140826246506,0.017822241214382264,0.017822241214382264,1.4999999999999999e-05,2e-05,-0.0003140804000000001,-0.0002790804000000001,113,0,113,False
baseline_current_long_short,BYBIT:SUNUSDT.P,0.0051546954514257665,0.005024161051425767,0.017608521222510158,0.017608521222510158,1.1e-05,1e-05,0.00010953440000000028,0.0001305344000000003,365,365,0,False
baseline_current_long_short,BYBIT:IOTAUSDT.P,0.0042139707246063775,0.004313508124606376,0.01511784725412949,0.01511784725412949,5.9999999999999995e-05,8e-05,-0.00023953740000000012,-9.953740000000013e-05,156,0,156,False
baseline_current_long_short,BYBIT:ZRXUSDT.P,0.0032470389376993225,0.003382286537699323,0.011854131201225665,0.011854131201225665,1.4999999999999999e-05,2e-05,-0.0001702476,-0.0001352476,31,31,0,False
baseline_current_long_short,BYBIT:ASTRUSDT.P,0.002924597904164553,0.0031985255041645515,0.011210091325563405,0.011210091325563405,1.4999999999999999e-05,2e-05,-0.00030892760000000006,-0.0002739276000000001,93,0,93,False
baseline_current_long_short,BYBIT:RVNUSDT.P,0.0029447632473333374,0.0029912728473333377,0.010483718749350227,0.010483718749350227,1.4999999999999999e-05,2e-05,-8.150960000000002e-05,-4.6509600000000026e-05,58,0,58,False
baseline_current_long_short,BYBIT:TWTUSDT.P,0.002688320195513378,0.0027498325955133776,0.009637526568282803,0.009637526568282803,1.4999999999999999e-05,2e-05,-9.651240000000003e-05,-6.151240000000003e-05,32,0,32,False
baseline_current_long_short,BYBIT:LRCUSDT.P,0.002276001443292288,0.002593354643292288,0.009089107575671477,0.009089107575671477,1.4999999999999999e-05,2e-05,-0.00035235320000000003,-0.00031735320000000005,28,0,28,False
baseline_current_long_short,BYBIT:CVXUSDT.P,0.0034924493565059345,0.0016247319565059312,0.005694309327306771,0.005694309327306771,2.9999999999999997e-05,4e-05,0.0017977173999999998,0.0018677173999999998,183,0,183,False
baseline_current_long_short,BYBIT:IMXUSDT.P,0.0012735913494306738,0.0016118151494306711,0.005649038909184477,0.005649038909184477,5.599999999999999e-05,7.000000000000001e-05,-0.0004642238000000001,-0.0003382238000000001,216,32,184,False
baseline_current_long_short,BYBIT:GRTUSDT.P,0.0012994816979231107,0.0013905244979231105,0.004873466411899942,0.004873466411899942,1.1e-05,1e-05,-0.00011204280000000002,-9.104280000000003e-05,61,0,61,False
baseline_current_long_short,BYBIT:FLRUSDT.P,0.000746567792737005,0.0007611953927370051,0.002667813609136361,0.002667813609136361,1.1e-05,1e-05,-3.562760000000002e-05,-1.4627600000000016e-05,30,0,30,False
baseline_current_long_short,BYBIT:LDOUSDT.P,1.1215138214210659e-05,0.00010252313821421046,0.0003593198618764342,0.0003593198618764342,1.1e-05,1e-05,-0.00011230800000000004,-9.130800000000004e-05,89,0,89,False
baseline_current_long_short,BYBIT:ZILUSDT.P,-0.000904457686930465,-0.00018881628693046427,-0.0006617573683525004,0.0006617573683525004,1.4999999999999999e-05,2e-05,-0.0007506414000000002,-0.0007156414000000002,180,0,180,False
baseline_current_long_short,BYBIT:BTCUSDT.P,0.004569768929818697,-0.0006932984027931384,-0.002429850379826294,0.002429850379826294,8.975e-05,0.000115,0.005058317332611833,0.005263067332611833,760,760,0,False
baseline_current_long_short,BYBIT:SOLUSDT.P,0.00019159909253263762,-0.0009926901324673592,-0.0034791490730512026,0.0034791490730512026,1.94375e-05,2.125e-05,0.001143601725,0.001184289225,546,546,0,False
baseline_current_long_short,BYBIT:CTCUSDT.P,-0.004393190247703576,-0.004057641847703576,-0.014221095195258075,0.014221095195258075,2.9999999999999997e-05,4e-05,-0.00040554839999999985,-0.0003355483999999999,244,184,60,False
baseline_current_long_short,BYBIT:CFXUSDT.P,-0.004664152796784138,-0.004511143596784138,-0.01581051382483493,0.01581051382483493,1.1e-05,1e-05,-0.00017400920000000005,-0.00015300920000000005,61,0,61,False
baseline_current_long_short,BYBIT:ACHUSDT.P,-0.003808720560732414,-0.004533496160732413,-0.01588885438610118,0.01588885438610118,1.4999999999999999e-05,2e-05,0.0006897756000000001,0.0007247756000000001,122,122,0,False
baseline_current_long_short,BYBIT:HNTUSDT.P,-0.005728976059369478,-0.00516150725936948,-0.018089887881073352,0.018089887881073352,4.0999999999999994e-05,5e-05,-0.0006584688000000002,-0.0005674688000000003,305,61,244,False
baseline_current_long_short,BYBIT:IOTXUSDT.P,-0.00510337176571831,-0.00564499856571831,-0.019784412965281495,0.019784412965281495,1.4999999999999999e-05,2e-05,0.0005066268,0.0005416268,32,32,0,False
